"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Dinosauria&taxon_reso=species&idqual=certain&pres=regular&interval=Triassic,Cretaceous&show=acconly"
"Access Time","Wed 2019-06-12 10:22:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Dinosauria"
"","idreso","species"
"","idqual","certain"
"","interval","Triassic,Cretaceous"
"","timerule","major"
"","taxon_status","all"
"","pres","regular"
"","show","acconly"
"Elapsed Time","0.428"
"Records Found","3189"
"Records Returned","3189"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"471799","occ","","","46881","Alxasaurus elesitaiensis","species","64126","Aptian","","125","113","12452"
"471836","occ","","","25074","Rahonavis ostromi","species","64131","Maastrichtian","","72.1","66","12456"
"472008","occ","","","46903","Jingshanosaurus xinwaensis","species","64138","Hettangian","","201.3","199.3","12462"
"472011","occ","","","46905","Psittacosaurus neimongoliensis","species","64142","Valanginian","Albian","139.8","100.5","12466"
"472313","occ","12694","","46934","Sinornithoides youngi","species","64145","Valanginian","Albian","139.8","100.5","12469"
"472458","occ","17889","","46951","Troodon formosus","species","54818","Late Campanian","","83.5","70.6","16964"
"472459","occ","28576","","22656","Leptorhynchos elegans","species","266223","Late Campanian","","83.5","70.6","46506"
"472460","occ","13826","","46952","Caenagnathus collinsi","species","54545","Late Campanian","","83.5","70.6","18597"
"472462","occ","28577","","46954","Leptorhynchos elegans","species","266223","Late Campanian","","83.5","70.6","46506"
"472467","occ","28578","","46956","Leptorhynchos elegans","species","266223","Late Campanian","","83.5","70.6","46506"
"472491","occ","","","46959","Caenagnathasia martinsoni","species","54543","Middle Turonian","Late Turonian","93.5","89.3","9243"
"472566","occ","","","46973","Saurornithoides mongoliensis","species","54470","Campanian","","83.6","72.1","12477"
"472665","occ","","","46984","Kritosaurus navajovius","species","53196","Late Campanian","","83.5","70.6","12486"
"472683","occ","","","14518","Alamosaurus sanjuanensis","species","63399","Lancian","","70.6","66","23604"
"472698","occ","13527","","46992","Alamosaurus sanjuanensis","species","63399","Lancian","","70.6","66","14569"
"472832","occ","","","47010","Alamosaurus sanjuanensis","species","63399","Lancian","","70.6","66","12486"
"472834","occ","","","47012","Ornithomimus edmontonicus","species","63438","Late Campanian","","83.5","70.6","12486"
"474063","occ","31624","","47029","Amurosaurus riabinini","species","64251","Late Maastrichtian","","70.6","66","24601"
"474073","occ","34725","","37811","Mandschurosaurus amurensis","species","64261","Late Maastrichtian","","70.6","66","12501"
"474089","occ","25057","","47032","Massospondylus kaalae","species","189828","Hettangian","Sinemurian","201.3","190.8","36501"
"474146","occ","","","47029","Kerberosaurus manakini","species","64257","Late Maastrichtian","","70.6","66","12514"
"474477","occ","35702","","47057","Kunbarrasaurus ieversi","species","371998","Late Albian","","105.3","99.6","66052"
"474488","occ","17834","","47059","Antarctopelta oliveroi","species","77203","Late Campanian","","83.5","70.6","17070"
"474519","occ","","","47065","Camarasaurus grandis","species","52961","Kimmeridgian","","157.3","152.1","12534"
"474524","occ","","","21852","Apatosaurus louisae","species","57752","Early Tithonian","","150.8","145","14351"
"474559","occ","26483","","47070","Euhelopus zdanskyi","species","64281","Berriasian","Valanginian","145","132.9","18021"
"474577","occ","15648","","47071","Omeisaurus junghsiensis","species","56461","Middle Jurassic","","174.1","163.5","12538"
"474638","occ","","","47081","Lufengosaurus huenei","species","56597","Sinemurian","","199.3","190.8","12541"
"474742","occ","","","47101","Gryposaurus latidens","species","57630","Late Santonian","Early Campanian","85.8","70.6","10628"
"475060","occ","","","22690","Orodromeus makelai","species","64338","Campanian","","83.6","72.1","7404"
"475067","occ","","","47123","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12562"
"475086","occ","","","47127","Triceratops horridus","species","63766","Maastrichtian","","72.1","66","12568"
"475133","occ","13608","","47135","Cryolophosaurus ellioti","species","64372","Sinemurian","Pliensbachian","199.3","182.7","12572"
"475135","occ","20323","","47135","Glacialisaurus hammeri","species","117150","Sinemurian","Pliensbachian","199.3","182.7","26326"
"475138","occ","","","47136","Paralititan stromeri","species","64374","Cenomanian","","100.5","93.9","12577"
"475140","occ","","","47137","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12562"
"475141","occ","","","47138","Dicraeosaurus sattleri","species","65942","Tithonian","","152.1","145","12585"
"475142","occ","","","47139","Janenschia robusta","species","64729","Tithonian","","152.1","145","12585"
"475143","occ","","","47140","Tornieria africana","species","64726","Tithonian","","152.1","145","12582"
"475144","occ","","","47141","Dicraeosaurus sattleri","species","65942","Tithonian","","152.1","145","12562"
"475148","occ","","","47142","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12562"
"475149","occ","","","47143","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"475152","occ","","","47144","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12562"
"475157","occ","","","47145","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12562"
"475159","occ","","","47145","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"475160","occ","","","47146","Dysalotosaurus lettowvorbecki","species","56514","Late Kimmeridgian","","155.7","150.8","18585"
"475161","occ","30612","","47147","Giraffatitan brancai","species","64501","Late Kimmeridgian","Tithonian","155.7","145","36770"
"475162","occ","","","47148","Giraffatitan brancai","species","64501","Late Kimmeridgian","","155.7","150.8","36770"
"475163","occ","","","47149","Dicraeosaurus hansemanni","species","65941","Late Kimmeridgian","","155.7","150.8","36770"
"475209","occ","","","47146","Elaphrosaurus bambergi","species","55481","Late Kimmeridgian","","155.7","150.8","12560"
"475222","occ","","","47153","Elaphrosaurus bambergi","species","55481","Late Kimmeridgian","","155.7","150.8","12561"
"475223","occ","","","47153","Dicraeosaurus hansemanni","species","65941","Late Kimmeridgian","","155.7","150.8","12585"
"475224","occ","","","47153","Giraffatitan brancai","species","64501","Late Kimmeridgian","","155.7","150.8","12579"
"475241","occ","33666","","47151","Kentrosaurus aethiopicus","species","56490","Late Kimmeridgian","","155.7","150.8","12611"
"475242","occ","","","47151","Giraffatitan brancai","species","64501","Late Kimmeridgian","","155.7","150.8","12582"
"475243","occ","","","47146","Giraffatitan brancai","species","64501","Late Kimmeridgian","","155.7","150.8","12582"
"475245","occ","","","47154","Janenschia robusta","species","64729","Tithonian","","152.1","145","51607"
"475246","occ","30610","","47158","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12585"
"475247","occ","","","47143","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12585"
"475248","occ","","","47157","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12585"
"475249","occ","","","47181","Tornieria africana","species","64726","Tithonian","","152.1","145","51607"
"475250","occ","","","47161","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12603"
"475251","occ","","","47151","Dicraeosaurus hansemanni","species","65941","Late Kimmeridgian","","155.7","150.8","12603"
"475253","occ","","","47156","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12603"
"475254","occ","","","47182","Dicraeosaurus sattleri","species","65942","Tithonian","","152.1","145","12606"
"475255","occ","","","47182","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12603"
"475257","occ","30611","","47183","Dicraeosaurus sattleri","species","65942","Tithonian","","152.1","145","36770"
"475258","occ","","","47184","Dicraeosaurus sattleri","species","65942","Tithonian","","152.1","145","12606"
"475259","occ","","","47185","Dicraeosaurus sattleri","species","65942","Tithonian","","152.1","145","12606"
"475261","occ","","","47155","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"475262","occ","","","47147","Kentrosaurus aethiopicus","species","56490","Late Kimmeridgian","Tithonian","155.7","145","12607"
"475263","occ","","","47146","Kentrosaurus aethiopicus","species","56490","Late Kimmeridgian","","155.7","150.8","12612"
"475264","occ","","","47160","Tornieria africana","species","64726","Tithonian","","152.1","145","12585"
"475306","occ","31141","","47189","Saurornitholestes sullivani","species","320177","Late Campanian","","83.5","70.6","55247"
"475307","occ","18429","","47190","Yaverlandia bitholus","species","56581","Late Hauterivian","Early Barremian","136.4","125.45","12616"
"477073","occ","19499","","47196","Othnielosaurus consors","species","54254","Kimmeridgian","Tithonian","157.3","145","24821"
"477078","occ","","","47197","Anchisaurus polyzelus","species","54151","Hettangian","Sinemurian","201.3","190.8","10620"
"477079","occ","","","47197","Anchisaurus polyzelus","species","54151","Hettangian","Sinemurian","201.3","190.8","12251"
"477080","occ","","","47197","Anchisaurus polyzelus","species","54151","Hettangian","Sinemurian","201.3","190.8","10622"
"477083","occ","","","47199","Anchisaurus polyzelus","species","54151","Hettangian","Sinemurian","201.3","190.8","30861"
"477085","occ","","","47201","Parasaurolophus tubicen","species","64355","Late Campanian","","83.5","70.6","12626"
"477943","occ","","","47344","Osmakasaurus depressus","species","64513","Barremian","","129.4","125","7478"
"477944","occ","","","47345","Osmakasaurus depressus","species","64513","Barremian","","129.4","125","13449"
"477945","occ","","","47345","Hoplitosaurus marshi","species","57576","Barremian","","129.4","125","17162"
"477946","occ","","","47346","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"478016","occ","","","47362","Sarcolestes leedsi","species","64524","Middle Callovian","","164.7","161.2","14154"
"478017","occ","","","47363","Lexovisaurus phillipsi","species","64522","Oxfordian","","163.5","157.3","14179"
"478018","occ","","","47364","Dracopelta zbyszewskii","species","64525","Late Tithonian","","150.8","145","12698"
"478161","occ","33454","","47420","Dacentrurus armatus","species","52989","Late Kimmeridgian","","155.7","150.8","53021"
"478162","occ","","","47421","Dacentrurus armatus","species","52989","Late Kimmeridgian","","155.7","150.8","14124"
"478163","occ","21443","","47422","Loricatosaurus priscus","species","56502","Middle Callovian","","164.7","161.2","29301"
"478165","occ","","","47423","Dacentrurus armatus","species","52989","Late Kimmeridgian","","155.7","150.8","12728"
"478177","occ","","","47430","Dacentrurus armatus","species","52989","Late Kimmeridgian","Early Tithonian","155.7","145","13143"
"478781","occ","","","47625","Sarcolestes leedsi","species","64524","Middle Callovian","","164.7","161.2","12771"
"478789","occ","","","47626","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","12772"
"478795","occ","","","47627","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","12773"
"478796","occ","","","47628","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","12773"
"478797","occ","","","47629","Stegoceras validum","species","81379","Late Campanian","","83.5","70.6","12772"
"479357","occ","","","21852","Dryosaurus altus","species","52882","Early Tithonian","","150.8","145","18057"
"479358","occ","19016","","21852","Dryosaurus altus","species","52882","Early Tithonian","","150.8","145","12780"
"479359","occ","12673","","12816","Drinker nisti","species","57650","Kimmeridgian","Tithonian","157.3","145","10653"
"479370","occ","12294","","47782","Struthiosaurus languedocensis","species","64793","Early Campanian","","83.5","70.6","12830"
"479382","occ","","","36610","Eucnemesaurus fortis","species","56614","Norian","Rhaetian","228","201.3","9279"
"479408","occ","","","47784","Saurornitholestes langstoni","species","54556","Late Campanian","","83.5","70.6","5929"
"479409","occ","","","47784","Troodon formosus","species","54818","Late Campanian","","83.5","70.6","5929"
"479456","occ","","","47793","Saurornitholestes langstoni","species","54556","Late Campanian","","83.5","70.6","5929"
"479483","occ","","","47794","Saurornitholestes langstoni","species","54556","Middle Campanian","","83.5","70.6","5929"
"479508","occ","","","47795","Saurornitholestes langstoni","species","54556","Middle Campanian","","83.5","70.6","5929"
"479510","occ","","","47795","Troodon formosus","species","54818","Middle Campanian","","83.5","70.6","5929"
"479515","occ","","","47796","Velocisaurus unicus","species","64902","Santonian","","86.3","83.6","12794"
"479548","occ","","","47800","Efraasia minor","species","54997","Alaunian","","215.56","212","26359"
"479587","occ","","","47807","Saurornitholestes langstoni","species","54556","Late Campanian","","83.5","70.6","5929"
"479588","occ","","","47807","Troodon formosus","species","54818","Late Campanian","","83.5","70.6","5929"
"479622","occ","","","47809","Saurornitholestes langstoni","species","54556","Middle Campanian","","83.5","70.6","5929"
"479623","occ","","","47809","Troodon formosus","species","54818","Middle Campanian","","83.5","70.6","5929"
"479652","occ","","","47811","Saurornitholestes langstoni","species","54556","Late Campanian","","83.5","70.6","5929"
"479653","occ","","","47811","Troodon formosus","species","54818","Late Campanian","","83.5","70.6","5929"
"479677","occ","","","47812","Saurornitholestes langstoni","species","54556","Late Campanian","","83.5","70.6","5929"
"479678","occ","","","47812","Troodon formosus","species","54818","Late Campanian","","83.5","70.6","5929"
"479711","occ","","","47814","Saurornitholestes langstoni","species","54556","Late Campanian","","83.5","70.6","5929"
"479717","occ","","","47815","Alamosaurus sanjuanensis","species","63399","Late Campanian","","83.5","70.6","12807"
"479718","occ","","","47817","Alamosaurus sanjuanensis","species","63399","Lancian","","70.6","66","12807"
"479719","occ","","","47818","Alamosaurus sanjuanensis","species","63399","Late Campanian","","83.5","70.6","12807"
"479740","occ","","","47816","Saurornitholestes langstoni","species","54556","Late Campanian","","83.5","70.6","5929"
"479748","occ","","","47819","Alamosaurus sanjuanensis","species","63399","Maastrichtian","","72.1","66","12807"
"479774","occ","","","22698","Saurornitholestes langstoni","species","54556","Late Campanian","","83.5","70.6","5929"
"479776","occ","","","22698","Troodon formosus","species","54818","Late Campanian","","83.5","70.6","5929"
"479800","occ","","","22695","Saurornitholestes langstoni","species","54556","Late Campanian","","83.5","70.6","5929"
"479802","occ","","","22695","Troodon formosus","species","54818","Late Campanian","","83.5","70.6","5929"
"480295","occ","","","22697","Saurornitholestes langstoni","species","54556","Late Campanian","","83.5","70.6","5929"
"480296","occ","29323","","22697","Zapsalis abradens","species","65357","Late Campanian","","83.5","70.6","48570"
"480297","occ","","","22697","Troodon formosus","species","54818","Late Campanian","","83.5","70.6","5929"
"480304","occ","","","14453","Orodromeus makelai","species","64338","Judithian","","83.5","70.6","2601"
"481732","occ","33075","","48124","Mymoorapelta maysi","species","57683","Kimmeridgian","Tithonian","157.3","145","12888"
"481742","occ","","","28366","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","12248"
"481755","occ","","","48127","Camarasaurus supremus","species","54168","Kimmeridgian","Tithonian","157.3","145","7239"
"481756","occ","","","48127","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","15653"
"481758","occ","12306","","48129","Camarasaurus supremus","species","54168","Tithonian","","152.1","145","12893"
"481759","occ","","","48129","Maraapunisaurus fragillimus","species","54196","Tithonian","","152.1","145","4411"
"481760","occ","","","48129","Camarasaurus supremus","species","54168","Tithonian","","152.1","145","9088"
"481761","occ","","","48129","Allosaurus fragilis","species","52962","Tithonian","","152.1","145","9077"
"481763","occ","","","48130","Camptosaurus dispar","species","52979","Kimmeridgian","Tithonian","157.3","145","12893"
"481935","occ","","","48148","Amphicoelias altus","species","53181","Kimmeridgian","Tithonian","157.3","145","12893"
"481936","occ","","","48149","Camarasaurus supremus","species","54168","Kimmeridgian","Tithonian","157.3","145","12893"
"481940","occ","","","48153","Camarasaurus supremus","species","54168","Kimmeridgian","Tithonian","157.3","145","12893"
"481941","occ","","","48154","Amphicoelias altus","species","53181","Kimmeridgian","Tithonian","157.3","145","33920"
"481951","occ","34163","","48155","Haplocanthosaurus delfsi","species","66582","Kimmeridgian","","157.3","152.1","13877"
"481957","occ","","","48158","Camarasaurus supremus","species","54168","Kimmeridgian","Tithonian","157.3","145","33920"
"481971","occ","30961","","48160","Stegosaurus stenops","species","56491","Kimmeridgian","","157.3","152.1","12893"
"481979","occ","","","48161","Brontosaurus excelsus","species","52982","Kimmeridgian","Tithonian","157.3","145","12893"
"481984","occ","","","48161","Stegosaurus stenops","species","56491","Kimmeridgian","Tithonian","157.3","145","55055"
"481991","occ","","","48162","Camarasaurus grandis","species","52961","Kimmeridgian","Tithonian","157.3","145","12893"
"481992","occ","","","48162","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","12893"
"481995","occ","34131","","48163","Diplodocus longus","species","52920","Kimmeridgian","Tithonian","157.3","145","12893"
"482004","occ","","","48168","Nanosaurus agilis","species","52951","Kimmeridgian","Tithonian","157.3","145","12893"
"482022","occ","13615","","48174","Neuquenraptor argentinus","species","64531","Late Turonian","Early Coniacian","93.5","85.8","12706"
"482024","occ","18238","","37211","Byronosaurus jaffei","species","57020","Campanian","","83.6","72.1","12905"
"483343","occ","","","48326","Cedarosaurus weiskopfae","species","64906","Barremian","","129.4","125","12918"
"483398","occ","","","48342","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"483399","occ","","","48342","Dicraeosaurus sattleri","species","65942","Tithonian","","152.1","145","12603"
"483400","occ","","","48343","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"483401","occ","","","48344","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"483402","occ","","","48344","Dicraeosaurus sattleri","species","65942","Tithonian","","152.1","145","12603"
"483403","occ","","","48345","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"483404","occ","","","48345","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12603"
"483405","occ","","","48346","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"483406","occ","","","48347","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"483407","occ","","","48348","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"483409","occ","","","48349","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"483410","occ","35390","","48349","Wamweracaudia keranjei","species","381044","Tithonian","","152.1","145","67806"
"483411","occ","","","48349","Dicraeosaurus sattleri","species","65942","Tithonian","","152.1","145","12603"
"483413","occ","","","48350","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"483414","occ","","","48350","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12585"
"483415","occ","","","48351","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"483416","occ","","","48352","Kentrosaurus aethiopicus","species","56490","Late Kimmeridgian","Tithonian","155.7","145","12607"
"483417","occ","","","48353","Kentrosaurus aethiopicus","species","56490","Late Kimmeridgian","Tithonian","155.7","145","12607"
"483418","occ","","","48354","Kentrosaurus aethiopicus","species","56490","Late Kimmeridgian","Tithonian","155.7","145","12607"
"483419","occ","","","48354","Giraffatitan brancai","species","64501","Late Kimmeridgian","Tithonian","155.7","145","12603"
"483420","occ","","","48355","Kentrosaurus aethiopicus","species","56490","Late Kimmeridgian","Tithonian","155.7","145","12607"
"483421","occ","","","48356","Kentrosaurus aethiopicus","species","56490","Late Kimmeridgian","Tithonian","155.7","145","12607"
"483422","occ","","","48357","Kentrosaurus aethiopicus","species","56490","Late Kimmeridgian","Tithonian","155.7","145","12607"
"483438","occ","","","48358","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12603"
"483439","occ","","","48358","Kentrosaurus aethiopicus","species","56490","Tithonian","","152.1","145","12607"
"483452","occ","30613","","48359","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12585"
"483453","occ","35391","","48360","Wamweracaudia keranjei","species","381044","Tithonian","","152.1","145","67806"
"483454","occ","35395","","48361","Tendaguria tanzaniensis","species","71878","Tithonian","","152.1","145","16740"
"483456","occ","","","48363","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12603"
"483457","occ","","","48364","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12603"
"483468","occ","","","48367","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12603"
"483469","occ","","","48370","Giraffatitan brancai","species","64501","Late Kimmeridgian","Tithonian","155.7","145","12603"
"483483","occ","12314","","48374","Dicraeosaurus sattleri","species","65942","Tithonian","","152.1","145","12585"
"483486","occ","","","48375","Dicraeosaurus sattleri","species","65942","Late Kimmeridgian","Tithonian","155.7","145","12585"
"483495","occ","","","48377","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12603"
"483497","occ","","","48378","Giraffatitan brancai","species","64501","Late Kimmeridgian","Tithonian","155.7","145","12603"
"483498","occ","","","48378","Kentrosaurus aethiopicus","species","56490","Late Kimmeridgian","Tithonian","155.7","145","12607"
"483499","occ","","","48379","Giraffatitan brancai","species","64501","Late Kimmeridgian","Tithonian","155.7","145","12603"
"483500","occ","","","48380","Giraffatitan brancai","species","64501","Late Kimmeridgian","Tithonian","155.7","145","12603"
"483501","occ","","","48381","Giraffatitan brancai","species","64501","Late Kimmeridgian","Tithonian","155.7","145","12585"
"483502","occ","","","48382","Giraffatitan brancai","species","64501","Late Kimmeridgian","Tithonian","155.7","145","12585"
"483503","occ","12315","","48383","Dicraeosaurus sattleri","species","65942","Late Kimmeridgian","Tithonian","155.7","145","12585"
"483504","occ","","","48384","Giraffatitan brancai","species","64501","Late Kimmeridgian","Tithonian","155.7","145","12585"
"483505","occ","","","48385","Giraffatitan brancai","species","64501","Tithonian","","152.1","145","12603"
"483506","occ","","","48385","Dicraeosaurus hansemanni","species","65941","Tithonian","","152.1","145","12603"
"483507","occ","","","48385","Tornieria africana","species","64726","Tithonian","","152.1","145","12603"
"483509","occ","","","48387","Dicraeosaurus hansemanni","species","65941","Oxfordian","","163.5","157.3","12603"
"483510","occ","","","48387","Kentrosaurus aethiopicus","species","56490","Oxfordian","","163.5","157.3","12607"
"483511","occ","","","48388","Giraffatitan brancai","species","64501","Oxfordian","","163.5","157.3","12585"
"483646","occ","29309","","14505","Pectinodon bakkeri","species","54819","Lancian","","70.6","66","48570"
"483679","occ","","","14491","Stegoceras validum","species","81379","Middle Campanian","Late Campanian","83.5","70.6","13582"
"483685","occ","","","48389","Majungasaurus crenatissimus","species","53959","Maastrichtian","","72.1","66","8733"
"483690","occ","","","39265","Majungasaurus crenatissimus","species","53959","Maastrichtian","","72.1","66","12923"
"483691","occ","","","25074","Masiakasaurus knopfleri","species","56389","Maastrichtian","","72.1","66","23634"
"483692","occ","","","25074","Majungasaurus crenatissimus","species","53959","Maastrichtian","","72.1","66","8733"
"483702","occ","31861","","48392","Coelophysis rhodesiensis","species","55541","Hettangian","Sinemurian","201.3","190.8","12927"
"483867","occ","","","48422","Coelophysis bauri","species","54212","Rhaetian","","208.5","201.3","5928"
"484410","occ","13418","","48461","Patagonykus puertai","species","64773","Late Turonian","Early Coniacian","93.5","85.8","12811"
"484986","occ","34482","","48546","Chindesaurus bryansmalli","species","66909","Norian","","228","208.5","14122"
"485015","occ","","","48557","Alcovasaurus longispinus","species","56492","Kimmeridgian","Tithonian","157.3","145","10606"
"485071","occ","15651","","48565","Galeamopus hayi","species","65918","Kimmeridgian","Tithonian","157.3","145","46207"
"485130","occ","","","48570","Dryptosaurus aquilunguis","species","53032","Late Maastrichtian","","70.6","66","15621"
"485973","occ","","","48618","Stegoceras validum","species","81379","Late Campanian","","83.5","70.6","24421"
"485974","occ","","","48619","Stegoceras validum","species","81379","Late Campanian","","83.5","70.6","12772"
"485997","occ","","","48624","Parksosaurus warreni","species","52895","Early Maastrichtian","","70.6","66","19270"
"486009","occ","","","48626","Thescelosaurus neglectus","species","52897","Late Maastrichtian","","70.6","66","13458"
"486010","occ","","","48627","Thescelosaurus edmontonensis","species","64745","Late Maastrichtian","","70.6","66","18598"
"486011","occ","28680","","48628","Thescelosaurus assiniboiensis","species","267489","Late Maastrichtian","","70.6","66","46723"
"486012","occ","","","48629","Thescelosaurus neglectus","species","52897","Late Maastrichtian","","70.6","66","12623"
"486103","occ","12348","","48639","Plateosaurus engelhardti","species","56683","Norian","","228","208.5","12994"
"486104","occ","12347","","25836","Plateosaurus engelhardti","species","56683","Norian","","228","208.5","12994"
"486165","occ","","","48644","Camelotia borealis","species","56586","Rhaetian","","208.5","201.3","12982"
"486188","occ","","","48658","Staurikosaurus pricei","species","55001","Carnian","","237","228","12492"
"486392","occ","12455","","48682","Appalachiosaurus montgomeriensis","species","65080","Middle Campanian","","83.5","70.6","12992"
"486393","occ","","","48683","Plateosaurus engelhardti","species","56683","Norian","","228","208.5","23495"
"486404","occ","21212","","48688","Juratyrant langhami","species","138441","Late Tithonian","","150.8","145","28880"
"486408","occ","30614","","48691","Gresslyosaurus plieningeri","species","57406","Norian","","228","208.5","16920"
"486411","occ","23675","","22684","Plateosaurus longiceps","species","64684","Rhaetian","","208.5","201.3","25716"
"486412","occ","12366","","48694","Ruehleia bedheimensis","species","65100","Norian","","228","208.5","12994"
"486413","occ","","","48694","Liliensternus liliensterni","species","56380","Norian","","228","208.5","13767"
"486474","occ","","","48720","Rhabdodon suessii","species","64750","Early Campanian","","83.5","70.6","12997"
"486476","occ","12373","","48720","Struthiosaurus austriacus","species","52792","Early Campanian","","83.5","70.6","12806"
"486477","occ","12372","","48720","Struthiosaurus austriacus","species","52792","Early Campanian","","83.5","70.6","12806"
"486479","occ","17806","","48720","Struthiosaurus austriacus","species","52792","Early Campanian","","83.5","70.6","12997"
"486480","occ","","","48720","Struthiosaurus austriacus","species","52792","Early Campanian","","83.5","70.6","12997"
"486484","occ","","","48720","Struthiosaurus austriacus","species","52792","Early Campanian","","83.5","70.6","12806"
"486489","occ","","","48720","Rhabdodon priscus","species","96110","Early Campanian","","83.5","70.6","12806"
"486492","occ","","","48720","Rhabdodon priscus","species","96110","Early Campanian","","83.5","70.6","12806"
"486494","occ","13282","","48722","Hungarosaurus tormai","species","66856","Santonian","","86.3","83.6","14093"
"486505","occ","","","48725","Hadrosaurus foulkii","species","52812","Early Campanian","","83.5","70.6","13003"
"487120","occ","19669","","48824","Massospondylus carinatus","species","56595","Hettangian","Sinemurian","201.3","190.8","13010"
"487121","occ","19671","","48825","Massospondylus carinatus","species","56595","Hettangian","Sinemurian","201.3","190.8","13010"
"487122","occ","19670","","48826","Massospondylus carinatus","species","56595","Sinemurian","","199.3","190.8","13010"
"487123","occ","","","48827","Massospondylus carinatus","species","56595","Sinemurian","","199.3","190.8","13010"
"487124","occ","","","48828","Lycorhinus angustidens","species","52899","Hettangian","Sinemurian","201.3","190.8","13011"
"487125","occ","28383","","48829","Lapampasaurus cholinoi","species","264234","Late Campanian","Early Maastrichtian","83.5","66","46071"
"487145","occ","","","48836","Edmontosaurus annectens","species","54239","Maastrichtian","","72.1","66","12319"
"487146","occ","","","48837","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","46207"
"487158","occ","","","48843","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","17021"
"487159","occ","","","48844","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","13015"
"487160","occ","","","48845","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","13015"
"487161","occ","","","48846","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","13015"
"487164","occ","","","48848","Tyrannosaurus rex","species","54833","Maastrichtian","","72.1","66","54064"
"487165","occ","12378","","48848","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","13015"
"487166","occ","","","48847","Tyrannosaurus rex","species","54833","Maastrichtian","","72.1","66","54064"
"487167","occ","","","48849","Rhabdodon priscus","species","96110","Late Campanian","Early Maastrichtian","83.5","66","13016"
"487169","occ","","","48849","Pyroraptor olympius","species","65134","Late Campanian","Early Maastrichtian","83.5","66","13017"
"487176","occ","25239","","48850","Ampelosaurus atacis","species","65140","Late Campanian","","83.5","70.6","13019"
"487181","occ","","","48850","Rhabdodon priscus","species","96110","Late Campanian","","83.5","70.6","13019"
